config_name,a,b,alpha,shift_M_V,shift_r_h,k1,k2,k3
gr,-0.97621,1.74811,-0.22786,3.48385,-2.45045,-0.52731,-0.04557,1.52315
ri,1.22788,-0.76202,0.23698,3.8062,-2.80189,-0.55787,-0.03905,1.63119
gri,2.18297,-1.20453,0.232,3.34136,-2.14519,-0.51492,-0.06026,1.31383
ug,-1.03468,1.66534,-0.21563,2.95367,-2.12997,-0.39573,-0.07121,-0.03267
ugr,-1.29552,2.16837,-0.23122,2.54491,-1.77531,-0.48432,-0.09004,0.27836
ugri,-1.37536,2.34263,-0.24202,2.70642,-1.69135,-0.49846,-0.09039,0.45773
