config_name,a,b,alpha,shift_M_V,shift_r_h,k1,k2,k3
gr,-1.30254,-7.01987,-3.01211,-2.81306,1.29918,-0.3671,0.0362,-6.08244
ri,-1.27074,-6.91982,-2.84845,-3.09033,1.29914,-0.36658,0.03317,-6.10231
gri,-1.09354,-6.52831,-2.70561,-2.93076,1.29877,-0.31045,0.01813,-6.46212
ug,-0.79793,-5.23951,-2.68082,-2.87295,1.29787,-0.23997,0.06452,-5.86349
ugr,-0.70611,-5.69394,-3.0568,-3.14461,1.2984,-0.23812,0.11056,-5.96679
ugri,-0.66422,-5.47484,-3.28562,-3.24108,1.29848,-0.21074,0.13459,-5.88403
