config_name,a,b,alpha,shift_M_V,shift_r_h,k1,k2,k3
gr,-0.56831,0.89427,-0.32279,3.88289,-2.36255,-0.54502,-0.04982,1.53672
ri,-0.6311,0.82245,-0.26135,3.59388,-2.49461,-0.59631,-0.05424,1.88958
gri,-0.63595,0.8721,-0.26555,3.6302,-2.23532,-0.50397,-0.0495,1.1628
ug,-0.57983,0.66739,-0.23658,3.43166,-2.20807,-0.4232,-0.05362,0.63568
ugr,-0.74131,0.96451,-0.20094,2.61156,-2.09828,-0.41596,-0.06889,0.48516
ugri,-0.80155,1.09876,-0.19921,2.33515,-1.97281,-0.41248,-0.06936,0.29152
