config_name,a,b,alpha,shift_M_V,shift_r_h,k1,k2,k3
gr,-5.43037,-1.14524,1.33155,-0.80813,1.08933,-0.34408,-0.30211,-5.57257
ri,-1.12911,-5.63047,-1.30999,-1.01751,1.10656,-0.28666,-0.24166,-6.37164
gri,-1.08641,-4.9255,-1.51342,-0.9142,1.08534,-0.29291,-0.25769,-5.58724
ug,-0.6808,-3.47174,-1.24055,-1.12891,1.1176,-0.25341,-0.20613,-4.07473
ugr,-0.6499,-3.81112,-1.2913,-1.28546,1.13126,-0.20472,-0.16478,-4.43575
ugri,-3.6541,-0.67428,1.42258,-1.34963,1.16079,-0.21021,-0.12083,-4.26679
