config_name,a,b,alpha,shift_M_V,shift_r_h,k1,k2,k3
gr,-1.19488,-5.80985,-2.77996,-4.4167,1.5988,-0.17106,0.07011,-7.5193
ri,-1.27444,-5.89934,-3.10962,-4.62749,1.59894,-0.16746,0.04653,-7.68597
gri,-4.68136,-0.94178,1.83869,-4.34336,1.69434,-0.18081,0.06714,-7.29932
ug,-0.70986,-4.33766,-2.05341,-4.28564,1.69696,-0.34231,0.18275,-4.89698
ugr,-0.58469,-4.2242,-2.46927,-4.68539,1.69802,-0.34483,0.25672,-4.59548
ugri,-4.76505,-0.50307,3.22287,-4.7715,1.59884,-0.34446,0.31282,-4.43517
