# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Nov 14 10:26:02 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
9.8116e-05 -2.19174 10.11394 0.7812035084 2.4119685664    0.722  1.715  3.8897  3.092    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.993e-05 0.483 0.906 0.425 0.536 0.664 0.713 0.746
9.8116e-05 -2.19174 10.11394 0.7812448144 2.4119838230    0.722  1.720  3.8823  3.058    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 0.469 0.908 0.423 0.509 0.624 0.671 0.703
9.8116e-05 -2.19174 10.11394 0.7812870145 2.4119994080    0.722  1.726  3.8745  3.020    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.455 0.913 0.423 0.481 0.582 0.626 0.657
9.8116e-05 -2.19174 10.11394 0.7813280821 2.4120145729    0.722  1.732  3.8663  2.982    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.439 0.918 0.424 0.454 0.540 0.582 0.610
9.8116e-05 -2.19174 10.11394 0.7813691497 2.4120297359    0.722  1.738  3.8582  2.943    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 0.424 0.924 0.427 0.428 0.500 0.538 0.565
9.8116e-05 -2.19174 10.11394 0.7814109325 2.4120451611    0.722  1.745  3.8498  2.903    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.408 0.932 0.431 0.405 0.461 0.495 0.520
9.8116e-05 -2.19174 10.11394 0.7814528346 2.4120606285    0.722  1.751  3.8414  2.863    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.391 0.941 0.436 0.381 0.421 0.451 0.474
9.8116e-05 -2.19174 10.11394 0.7814940214 2.4120758299    0.722  1.758  3.8334  2.824    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.375 0.950 0.441 0.359 0.384 0.410 0.431
9.8116e-05 -2.19174 10.11394 0.7815356851 2.4120912055    0.722  1.765  3.8250  2.783    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.357 0.962 0.446 0.336 0.346 0.366 0.385
9.8116e-05 -2.19174 10.11394 0.7815796733 2.4121074369    0.722  1.774  3.8149  2.734    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 0.334 0.976 0.452 0.308 0.300 0.313 0.329
9.8116e-05 -2.19174 10.11394 0.7816207409 2.4121225887    0.722  1.784  3.8053  2.686    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.310 0.993 0.459 0.280 0.254 0.261 0.274
9.8116e-05 -2.19174 10.11394 0.7816554308 2.4121353860    0.722  1.795  3.7950  2.633    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 0.281 1.012 0.466 0.249 0.206 0.204 0.213
9.8116e-05 -2.19174 10.11394 0.7816774845 2.4121435211    0.722  1.810  3.7850  2.579    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 0.244 1.025 0.464 0.211 0.149 0.139 0.145
9.8116e-05 -2.19174 10.11394 0.7816930413 2.4121492593    0.722  1.823  3.7772  2.535    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.213 1.036 0.461 0.180 0.105 0.087 0.090
9.8116e-05 -2.19174 10.11394 0.7817023396 2.4121526889    0.722  1.838  3.7700  2.491    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 0.176 1.040 0.449 0.143 0.055 0.031 0.031
9.8116e-05 -2.19174 10.11394 0.7817091942 2.4121552171    0.722  1.849  3.7643  2.457    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.147 1.045 0.442 0.115 0.017 -0.013 -0.016
9.8116e-05 -2.19174 10.11394 0.7817141414 2.4121570418    0.723  1.863  3.7586  2.420    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.111 1.044 0.427 0.080 -0.028 -0.063 -0.068
9.8116e-05 -2.19174 10.11394 0.7817183733 2.4121586026    0.723  1.879  3.7530  2.382    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 0.073 1.042 0.410 0.043 -0.075 -0.116 -0.123
9.8116e-05 -2.19174 10.11394 0.7817216516 2.4121598117    0.723  1.901  3.7465  2.334    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 0.018 1.031 0.380 -0.010 -0.139 -0.187 -0.197
9.8116e-05 -2.19174 10.11394 0.7817237973 2.4121606031    0.723  1.923  3.7408  2.289    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 -0.037 1.016 0.347 -0.063 -0.202 -0.255 -0.268
9.8116e-05 -2.19174 10.11394 0.7817252278 2.4121611307    0.723  1.948  3.7355  2.243    4  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 -0.100 0.996 0.305 -0.125 -0.272 -0.332 -0.347
9.8116e-05 -2.19174 10.11394 0.7817260623 2.4121614384    0.723  1.971  3.7317  2.205    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 -0.157 0.971 0.264 -0.181 -0.336 -0.399 -0.416
9.8116e-05 -2.19174 10.11394 0.7817267179 2.4121616802    0.723  2.001  3.7280  2.160    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 -0.232 0.929 0.204 -0.254 -0.415 -0.483 -0.501
9.8116e-05 -2.19174 10.11394 0.7817274928 2.4121619660    0.723  2.037  3.7241  2.108    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 -0.323 0.873 0.129 -0.344 -0.511 -0.583 -0.604
9.8116e-05 -2.19174 10.11394 0.7817282081 2.4121622298    0.723  2.075  3.7206  2.056    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 -0.418 0.809 0.049 -0.438 -0.611 -0.687 -0.709
9.8116e-05 -2.19174 10.11394 0.7817289829 2.4121625156    0.723  2.113  3.7174  2.005    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 -0.513 0.747 -0.031 -0.530 -0.709 -0.789 -0.813
9.8116e-05 -2.19174 10.11394 0.7817300558 2.4121629113    0.723  2.146  3.7150  1.963    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.991e-05 -0.595 0.691 -0.102 -0.612 -0.795 -0.878 -0.902
9.8116e-05 -2.19174 10.11394 0.7817320824 2.4121636587    0.723  2.147  3.7152  1.963    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 -0.596 0.688 -0.104 -0.613 -0.796 -0.878 -0.903
9.8116e-05 -2.19174 10.11394 0.7817353606 2.4121648677    0.723  2.136  3.7160  1.977    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 -0.569 0.706 -0.081 -0.586 -0.767 -0.849 -0.873
9.8116e-05 -2.19174 10.11394 0.7817559242 2.4121724514    0.723  2.150  3.7143  1.956    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.993e-05 -0.606 0.688 -0.109 -0.622 -0.807 -0.890 -0.915
9.8116e-05 -2.19174 10.11394 0.7817690969 2.4121773090    0.723  2.186  3.7116  1.909    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.991e-05 -0.694 0.629 -0.185 -0.709 -0.899 -0.985 -1.012
9.8116e-05 -2.19174 10.11394 0.7817884684 2.4121844524    0.723  2.238  3.7080  1.843    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 1.000e-04 -0.826 0.540 -0.298 -0.838 -1.035 -1.126 -1.154
9.8116e-05 -2.19174 10.11394 0.7818043232 2.4121902986    0.723  2.281  3.7053  1.789    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 -0.932 0.467 -0.391 -0.943 -1.144 -1.238 -1.268
9.8116e-05 -2.19174 10.11394 0.7818185091 2.4121955292    0.723  2.323  3.7028  1.737    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.684e-06 4.222e-05 -1.000 9.999e-05 -1.037 0.395 -0.482 -1.046 -1.252 -1.349 -1.380
9.8116e-05 -2.19174 10.11394 0.7818310857 2.4122001662    0.723  2.364  3.7003  1.686    7  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.688e-05 4.686e-06 4.222e-05 -1.000 9.999e-05 -1.141 0.321 -0.573 -1.148 -1.359 -1.459 -1.491
9.8116e-05 -2.19174 10.11394 0.7818421721 2.4122042537    0.723  2.406  3.6980  1.635    7  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.684e-05 4.697e-06 4.222e-05 -1.000 1.000e-04 -1.245 0.250 -0.663 -1.250 -1.465 -1.568 -1.601
9.8116e-05 -2.19174 10.11394 0.7818520069 2.4122078796    0.723  2.448  3.6956  1.584    7  0.000  0.527     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.670e-05 4.784e-06 4.222e-05 -1.000 9.999e-05 -1.349 0.178 -0.754 -1.351 -1.571 -1.677 -1.712
9.8116e-05 -2.19174 10.11394 0.7818606496 2.4122110659    0.723  2.489  3.6934  1.534    7  0.000  0.516     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.562e-01 2.437e-01 1.634e-05 5.125e-06 4.222e-05 -1.000 1.000e-04 -1.451 0.108 -0.843 -1.451 -1.675 -1.784 -1.820
9.8116e-05 -2.19174 10.11394 0.7818685770 2.4122139884    0.723  2.530  3.6911  1.484    7  0.000  0.500     6.71     5.36     3.80     2.95     2.38  3    -1e-30      0.00 7.561e-01 2.438e-01 1.582e-05 5.725e-06 4.222e-05 -1.000 9.997e-05 -1.554 0.037 -0.932 -1.552 -1.780 -1.892 -1.929
9.8116e-05 -2.19174 10.11394 0.7818758488 2.4122166692    0.723  2.571  3.6889  1.434    7  0.000  0.482     7.45     5.86     4.14     3.22     2.60  3    -1e-30      0.00 7.560e-01 2.439e-01 1.528e-05 6.382e-06 4.223e-05 -1.000 1.000e-04 -1.656 -0.029 -1.019 -1.651 -1.884 -1.999 -2.037
9.8116e-05 -2.19174 10.11394 0.7818826437 2.4122191741    0.723  2.612  3.6866  1.384    7  0.000  0.467     8.29     6.42     4.52     3.51     2.84  3    -1e-30      0.00 7.557e-01 2.442e-01 1.479e-05 6.984e-06 4.224e-05 -1.000 1.001e-04 -1.759 -0.094 -1.106 -1.750 -1.988 -2.106 -2.146
9.8116e-05 -2.19174 10.11394 0.7818890214 2.4122215252    0.723  2.653  3.6844  1.334    7  0.000  0.454     9.22     7.02     4.92     3.83     3.10  3    -1e-30      0.00 7.555e-01 2.444e-01 1.438e-05 7.500e-06 4.225e-05 -1.000 9.999e-05 -1.861 -0.145 -1.190 -1.850 -2.093 -2.214 -2.255
9.8116e-05 -2.19174 10.11394 0.7818950415 2.4122237444    0.723  2.693  3.6822  1.284    7  0.000  0.442    10.26     7.68     5.36     4.18     3.38  3    -1e-30      0.00 7.552e-01 2.447e-01 1.402e-05 7.945e-06 4.226e-05 -1.000 1.000e-04 -1.964 -0.183 -1.272 -1.952 -2.200 -2.323 -2.365
9.8116e-05 -2.19174 10.11394 0.7819008231 2.4122258756    0.723  2.734  3.6800  1.234    7  0.000  0.433    11.40     8.41     5.84     4.56     3.69  2    -1e-30      0.00 7.550e-01 2.449e-01 1.371e-05 8.330e-06 4.226e-05 -1.000 1.000e-04 -2.066 -0.215 -1.352 -2.053 -2.306 -2.433 -2.476
9.8116e-05 -2.19174 10.11394 0.7819063067 2.4122278970    0.723  2.776  3.6777  1.184    7  0.000  0.424    12.70     9.21     6.38     4.98     4.03  2    -1e-30      0.00 7.547e-01 2.452e-01 1.343e-05 8.667e-06 4.224e-05 -1.000 1.000e-04 -2.170 -0.239 -1.430 -2.154 -2.414 -2.543 -2.588
9.8116e-05 -2.19174 10.11394 0.7819111943 2.4122296986    0.723  2.818  3.6754  1.133    7  0.000  0.417    14.17    10.11     6.97     5.45     4.42  2    -1e-30      0.00 7.544e-01 2.455e-01 1.319e-05 8.968e-06 4.219e-05 -1.000 9.999e-05 -2.275 -0.256 -1.506 -2.257 -2.523 -2.656 -2.702
9.8116e-05 -2.19174 10.11394 0.7819152474 2.4122311926    0.723  2.859  3.6731  1.082    7  0.000  0.411    15.78    11.07     7.60     5.96     4.82  2    -1e-30      0.00 7.542e-01 2.457e-01 1.300e-05 9.228e-06 4.212e-05 -1.000 9.996e-05 -2.377 -0.266 -1.578 -2.356 -2.629 -2.766 -2.813
9.8116e-05 -2.19174 10.11394 0.7819186449 2.4122324449    0.723  2.900  3.6708  1.032    7  0.000  0.407    17.55    12.12     8.29     6.50     5.27  2    -1e-30      0.00 7.539e-01 2.460e-01 1.283e-05 9.473e-06 4.203e-05 -1.000 9.996e-05 -2.479 -0.269 -1.647 -2.455 -2.735 -2.875 -2.924
9.8116e-05 -2.19174 10.11394 0.7819215059 2.4122334995    0.723  2.937  3.6686  0.986    7  0.000  0.404    19.37    13.18     8.98     7.05     5.71  2    -1e-30      0.00 7.537e-01 2.462e-01 1.269e-05 9.702e-06 4.190e-05 -1.000 8.725e-05 -2.573 -0.262 -1.706 -2.545 -2.833 -2.976 -3.026
9.8116e-05 -2.19174 10.11394 0.7819244862 2.4122345980    0.723  2.977  3.6663  0.937    7  0.000  0.402    21.48    14.39     9.76     7.68     6.22  1    -1e-30      0.00 7.534e-01 2.465e-01 1.258e-05 9.930e-06 4.176e-05 -1.000 9.713e-05 -2.672 -0.242 -1.763 -2.638 -2.934 -3.082 -3.134
9.8116e-05 -2.19174 10.11394 0.7819269896 2.4122355208    0.723  3.014  3.6641  0.892    7  0.000  0.400    23.67    15.62    10.56     8.32     6.74  1    -1e-30      0.00 7.532e-01 2.467e-01 1.250e-05 1.013e-05 4.163e-05 -1.000 1.000e-04 -2.764 -0.216 -1.813 -2.724 -3.030 -3.182 -3.235
9.8116e-05 -2.19174 10.11394 0.7819296718 2.4122365094    0.723  3.055  3.6617  0.841    7  0.000  0.399    26.39    17.13    11.53     9.09     7.37  1    -1e-30      0.00 7.529e-01 2.470e-01 1.240e-05 1.040e-05 4.144e-05 -1.000 1.000e-04 -2.867 -0.177 -1.863 -2.820 -3.137 -3.293 -3.348
9.8116e-05 -2.19174 10.11394 0.7819298506 2.4122365753    0.723  3.068  3.6609  0.825    7  0.000  0.399    27.30    17.63    11.85     9.35     7.58  1    -1e-30      0.00 7.529e-01 2.470e-01 1.240e-05 1.041e-05 4.144e-05 -1.000 1.000e-04 -2.899 -0.160 -1.877 -2.849 -3.170 -3.328 -3.383
9.8116e-05 -2.19174 10.11394 0.7819300294 2.4122366412    0.723  3.088  3.6596  0.799    7  0.000  0.399    28.83    18.46    12.39     9.78     7.93  1    -1e-30      0.00 7.529e-01 2.470e-01 1.239e-05 1.044e-05 4.142e-05 -1.000 9.996e-05 -2.950 -0.132 -1.898 -2.895 -3.222 -3.383 -3.439
9.8116e-05 -2.19174 10.11394 0.7819302082 2.4122367071    0.723  3.117  3.6578  0.763    7  0.000  0.398    31.14    19.71    13.19    10.42     8.45  1    -1e-30      0.00 7.525e-01 2.474e-01 1.226e-05 1.088e-05 4.109e-05 -1.000 9.996e-05 -3.022 -0.098 -1.928 -2.960 -3.296 -3.461 -3.518
9.8116e-05 -2.19174 10.11394 0.7819303870 2.4122367730    0.723  3.150  3.6557  0.722    7  0.000  0.397    33.99    21.23    14.16    11.20     9.08  1    -1e-30      0.00 7.521e-01 2.478e-01 1.215e-05 1.128e-05 4.079e-05 -1.000 9.996e-05 -3.104 -0.098 -1.973 -3.032 -3.376 -3.546 -3.605
9.8116e-05 -2.19174 10.11394 0.7819306254 2.4122368609    0.723  3.187  3.6533  0.675    7  0.000  0.397    37.56    23.11    15.35    12.16     9.86  1    -1e-30      0.00 7.517e-01 2.482e-01 1.206e-05 1.164e-05 4.051e-05 -1.000 1.000e-04 -3.197 -0.096 -2.022 -3.114 -3.468 -3.642 -3.704
9.8116e-05 -2.19174 10.11394 0.7819309831 2.4122369927    0.723  3.220  3.6511  0.633    7  0.000  0.397    41.07    24.93    16.50    13.09    10.62  1    -1e-30      0.00 7.514e-01 2.485e-01 1.199e-05 1.191e-05 4.030e-05 -1.000 9.653e-05 -3.280 -0.093 -2.065 -3.186 -3.550 -3.728 -3.792
9.8116e-05 -2.19174 10.11394 0.7819313407 2.4122371245    0.723  3.237  3.6479  0.603    8  0.519  0.410    43.80    26.33    17.38    13.80    11.20  1 -4.43e-07      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.513e-04 -3.323 -0.033 -2.057 -3.213 -3.588 -3.774 -3.839
9.8116e-05 -2.19174 10.11394 0.7819314003 2.4122371465    0.721  3.015  3.6618  0.880    8  0.519  0.410    24.25    15.94    10.77     8.48     6.88  1 -1.82e-07      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.513e-04 -2.767 -0.106 -1.774 -2.721 -3.035 -3.191 -3.245
9.8116e-05 -2.19174 10.11394 0.7819315195 2.4122371905    0.718  2.855  3.6714  1.076    8  0.520  0.410    15.95    11.17     7.67     6.01     4.87  2 -1.02e-07      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.513e-04 -2.368 -0.194 -1.548 -2.345 -2.622 -2.761 -2.810
9.8116e-05 -2.19174 10.11394 0.7819316983 2.4122372564    0.712  2.635  3.6846  1.346    8  0.520  0.410     8.95     6.85     4.80     3.74     3.02  3 -4.98e-08      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.513e-04 -1.817 -0.106 -1.148 -1.806 -2.049 -2.169 -2.210
9.8116e-05 -2.19174 10.11394 0.7819319963 2.4122373662    0.705  2.637  3.6842  1.338    8  0.520  0.410     9.08     6.93     4.86     3.79     3.06  3 -5.07e-08      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.513e-04 -1.824 -0.103 -1.151 -1.813 -2.056 -2.177 -2.218
9.8116e-05 -2.19174 10.11394 0.7819323540 2.4122374980    0.695  2.707  3.6798  1.244    8  0.520  0.410    11.05     8.18     5.69     4.44     3.60  2 -6.43e-08      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.513e-04 -1.998 -0.143 -1.283 -1.985 -2.238 -2.365 -2.408
9.8116e-05 -2.19174 10.11394 0.7819327712 2.4122376518    0.684  2.893  3.6683  1.006    8  0.520  0.410    18.31    12.54     8.55     6.73     5.45  1 -1.24e-07      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.513e-04 -2.462 -0.148 -1.594 -2.433 -2.721 -2.865 -2.915
9.8116e-05 -2.19174 10.11394 0.7819332480 2.4122378276    0.671  3.063  3.6577  0.785    8  0.521  0.410    29.23    18.59    12.45     9.86     7.99  1 -2.41e-07      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.514e-04 -2.887 0.024 -1.797 -2.825 -3.159 -3.324 -3.382
9.8116e-05 -2.19174 10.11394 0.7819337845 2.4122380253    0.656  3.174  3.6507  0.636    8  0.521  0.410    40.07    24.22    16.02    12.74    10.33  1 -3.92e-07      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.513e-04 -3.165 0.031 -1.945 -3.070 -3.434 -3.614 -3.677
9.8116e-05 -2.19174 10.11394 0.7819344401 2.4122382670    0.640  3.232  3.6468  0.551    8  0.521  0.410    47.81    28.04    18.41    14.69    11.91  1 -5.21e-07      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.514e-04 -3.311 0.046 -2.013 -3.193 -3.575 -3.764 -3.831
9.8116e-05 -2.19174 10.11394 0.7819351554 2.4122385306    0.622  3.257  3.6449  0.507    8  0.522  0.410    52.31    30.16    19.73    15.78    12.79  1 -6.05e-07      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.514e-04 -3.372 0.066 -2.034 -3.244 -3.635 -3.828 -3.896
9.8116e-05 -2.19174 10.11394 0.7819359303 2.4122388162    0.604  3.267  3.6438  0.479    8  0.522  0.410    55.23    31.45    20.52    16.44    13.33  0 -6.63e-07      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.514e-04 -3.398 0.088 -2.033 -3.262 -3.659 -3.855 -3.924
9.8116e-05 -2.19174 10.11394 0.7819391489 2.4122400025    0.523 -9.999  4.0000  1.897    9  0.524  0.000     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.512e-01 2.486e-01 1.251e-05 1.207e-05 4.069e-05 -1.000 1.514e-04 29.767 30.115 29.976 30.253 30.481 30.559 30.648
#isochrone terminated
